模型,ROC-AUC,PR-AUC,F1,Precision,Recall,Balanced Accuracy,TN,FP,FN,TP,训练秒数
梯度提升树,0.7363948651634413,0.44029644599958556,0.2633289986996099,0.6,0.16867971678467306,0.5702758933959827,9329,270,1996,405,3.1124134000001504
随机森林,0.7247759044385393,0.42433480655223865,0.3728382502543235,0.47877204441541477,0.30528946272386503,0.6110779014838202,8801,798,1668,733,6.310153200000059
多层感知机,0.7177586959699528,0.42266409081739276,0.29856225145304377,0.5622119815668203,0.20324864639733445,0.5818305946852804,9219,380,1913,488,12.985870900000009
线性SVM,0.7002347877501296,0.4056416458450035,0.41267326732673265,0.3020873598763046,0.650978758850479,0.637396869788819,5988,3611,838,1563,0.17093190000014147
逻辑回归,0.7002107935111768,0.4050237886973423,0.4135827032762966,0.3034254573764111,0.6493127863390254,0.6382307238289564,6020,3579,842,1559,0.18551169999955164
