特征,重要性
log_fans,0.30995583719868786
emotion_positive,0.18085774129588067
body_len,0.13137999317053164
title_len,0.10800455494635497
tag_count,0.09501169998017141
weekday,0.06760876558226722
exclamation_count,0.04135080118775768
emoji_count,0.03553000093483236
has_location,0.01744711235989932
question_count,0.012853493343616948
