x_mean,y_mean,n
0.0834460422393788,5.949530381040476,9015
0.23991144996117153,6.010169819421925,9014
0.4104908929905713,6.082149354106083,9015
0.5424112685300643,6.169616732441542,9014
0.6407493163416528,6.093636117005866,9015
0.7087294294475261,6.053102006000576,9014
0.7727819234143094,5.934761951281017,9015
0.8323435271045041,5.878557236263369,9014
0.8788079363671658,5.837269601080465,9015
0.9094159434601731,5.74376190100125,9014
0.9290768624406479,5.792098189087251,9014
0.9451196986600112,5.656582296863231,9015
0.9591298140292877,5.704808756878229,9014
0.9702948082939544,5.695197220106456,9015
0.9784039846705125,5.733640132865319,9014
0.9859163129162506,5.700880167782936,9015
0.9882936711959175,5.704757062199289,9014
0.989642999225735,5.741717614648286,9015
0.9913831920255131,5.665449208835976,9015
0.9933659685478146,5.6170181580500405,9014
