x_mean,y_mean,n
2.1498831649558614,3.777175072324452,11656
2.971715908113994,4.167936528879324,5300
3.819525104429411,4.623806935974186,8110
4.703706524201387,5.0295306799372,8331
5.635569846040169,5.3056626159413,8334
6.767829843873657,5.197098812730096,17442
7.165632665175178,5.49694842062783,7585
7.6430394053676,5.763199736243353,8342
8.086982024627124,5.922133469807338,8341
8.526775205612251,6.072422018862718,8346
8.95394225386975,6.2377664142324365,8342
9.20945613241743,6.001374318204377,16634
9.305635506536028,6.297520779126626,2045
9.525437326743676,6.432163408829933,7107
9.929297631099416,6.582343420507212,8141
10.372274684299274,6.760400344860595,7803
10.890394745953506,7.089728699253105,8416
11.596179594274407,7.4393219847887,8313
12.759746010286973,8.191127304436383,8293
