,log_fans,title_len,body_len,content_len,tag_count,exclamation_count,question_count,emoji_count,emotion_positive,emotion_extremity,title_body_overlap,weekday,has_location
log_fans,1.0,-0.03132362532215017,-0.13796022143794684,-0.13893394306426088,0.057621231131248285,0.016103927271554068,-0.07117156023348396,-0.02281587097140391,0.09381599321294888,-0.007443970090459534,-0.08643855166147768,-0.025828449366834073,-0.2086006219124273
title_len,-0.03132362532215017,1.0,0.12722673311817279,0.2808498105469011,0.04320103346808201,0.08531068422058488,0.07380206111435823,0.0927635299672015,0.02573243862203192,0.03199791572652064,0.2942015010908291,-0.0003286358810845264,0.043928107461066394
body_len,-0.13796022143794684,0.12722673311817279,1.0,0.9876719418811981,0.1811440427759915,0.33117882491761647,0.23555300600463558,0.4183334191203203,0.10342897001590205,0.15959295786110897,0.06663075932661958,-0.0060247216256771995,0.04366858884921355
content_len,-0.13893394306426088,0.2808498105469011,0.9876719418811981,1.0,0.18247431526541713,0.33436439710736254,0.23973062487138652,0.41957727316484367,0.10442725857985002,0.16003451777966896,0.11158332564791112,-0.005923599386278673,0.049218732697393866
tag_count,0.057621231131248285,0.04320103346808201,0.1811440427759915,0.18247431526541713,1.0,0.1608462357531966,0.00278867199541503,0.1554091996587097,0.11139762073431815,0.1127460383562167,-0.06539733212614023,-0.026066970732262863,0.05871418459209714
exclamation_count,0.016103927271554068,0.08531068422058488,0.33117882491761647,0.33436439710736254,0.1608462357531966,1.0,0.08898017524282581,0.18881357371956134,0.03213451543211508,0.10675244163929377,0.00799655323824504,-0.022865611377739604,0.09812828697104181
question_count,-0.07117156023348396,0.07380206111435823,0.23555300600463558,0.23973062487138652,0.00278867199541503,0.08898017524282581,1.0,0.07091332614109688,-0.15414284371091228,-0.05914856875301068,0.06336248709685022,-0.0005193599201876357,0.013301872400864717
emoji_count,-0.02281587097140391,0.0927635299672015,0.4183334191203203,0.41957727316484367,0.1554091996587097,0.18881357371956134,0.07091332614109688,1.0,0.08108528971288957,0.06003496286933428,0.030345451174644208,-0.0016078513882134982,0.029782539417022368
emotion_positive,0.09381599321294888,0.02573243862203192,0.10342897001590205,0.10442725857985002,0.11139762073431815,0.03213451543211508,-0.15414284371091228,0.08108528971288957,1.0,0.5778024555741234,-0.0013684543664869808,0.0006101418773605482,-0.005212745197114421
emotion_extremity,-0.007443970090459534,0.03199791572652064,0.15959295786110897,0.16003451777966896,0.1127460383562167,0.10675244163929377,-0.05914856875301068,0.06003496286933428,0.5778024555741234,1.0,0.0049495330030019805,-0.0021006931114575193,0.02656834827214759
title_body_overlap,-0.08643855166147768,0.2942015010908291,0.06663075932661958,0.11158332564791112,-0.06539733212614023,0.00799655323824504,0.06336248709685022,0.030345451174644208,-0.0013684543664869808,0.0049495330030019805,1.0,0.009556477511921265,0.04122720166157505
weekday,-0.025828449366834073,-0.0003286358810845264,-0.0060247216256771995,-0.005923599386278673,-0.026066970732262863,-0.022865611377739604,-0.0005193599201876357,-0.0016078513882134982,0.0006101418773605482,-0.0021006931114575193,0.009556477511921265,1.0,-0.015962300989033517
has_location,-0.2086006219124273,0.043928107461066394,0.04366858884921355,0.049218732697393866,0.05871418459209714,0.09812828697104181,0.013301872400864717,0.029782539417022368,-0.005212745197114421,0.02656834827214759,0.04122720166157505,-0.015962300989033517,1.0
