,样本量,平均log互动,中位log互动,爆款比例
周一,24582,6.083326892531459,6.082218910376446,0.10422260190383208
周二,25298,5.972922128598245,5.928257584680153,0.10226104830421377
周三,27339,5.92298710143564,5.849324779946859,0.10088152456198106
周四,29280,5.704825636076024,5.666426688112432,0.09494535519125682
周五,31151,5.219974930581928,5.298317366548036,0.08535841546017785
周六,23158,6.070697275960399,6.035481432524756,0.10907677692374125
周日,20938,6.066703808048102,6.052089168924417,0.10855860158563378
