x_mean,y_mean,n
4.74232180799691,5.988749660870484,10354
9.07031516668563,5.986107978209855,8789
12.00931892534946,6.023400459798982,10087
14.515100904662491,6.012183301550082,7185
17.027333502581026,5.996368991198452,11817
19.559684573681615,6.107662784989769,10145
21.396240489333135,6.131902867501682,6703
24.819003388979542,6.023629741071567,7967
30.9738683127572,5.9723040888104215,9720
37.427485832045335,5.96652604278095,7764
44.88919109499345,5.990955896548495,9927
53.81003112281542,5.971719200045509,8354
64.27580428954424,5.9661174731045685,8952
78.01919092792498,5.978151516321173,9171
96.76376068376068,5.877928268876861,8775
124.04041948874809,5.752809462588377,9154
168.38064805471464,5.617908391879748,8919
244.6320796460177,5.44293578873225,9040
381.74627030611117,5.07826874708006,9049
687.0559672602589,4.940928587831309,9041
